Book,Chapter,Verse,Scripture
40,2,2,"nũy kakxop pit xax, tu' yĩkopit, hu:—‍Pi'yã' xip tik te tikmũ'ũn xat'ax kutok? Yã' tut te' put nõmhã, pu Yoneo yõg tikmũ'ũn xohix xat. Hãptox tukmũg tihi', tu kakxop yõg mãyõnnãg pẽnãhã pepi pexkox tu', tu mãyõn xupep'ax ha mãyõnnãg pẽnãhã', tuk nũn tu nũktu nũk-tettex kakxop pu'. Kaxĩy."
40,2,3,"Ha 'Enot te' xupak, tu' xutĩgãhã', xix Yenoyanẽn yõg tikmũ'ũn xohix xutĩgãhã',"
40,2,4,"yĩy 'Enot te 'ãmãnex xexka xop xãnãhã', xix hãmyũmmũg xop xãnãhã', pu yãy tu nũnnãy, tu ta' nũn tu nũktu mõxaha', ha 'Enot te:—‍Tep mũn 'ãktux Topa yõg tappet te'? Pi'yã' xip putup 'ũtut 'ĩhãk-tok put, Topa te nõm yãykutnãhã'? Kaxĩy."
40,2,5,"Ha:—‍Kõmẽn Menẽg kopa' put putup, hãpxexka Yonex tu'. Yã tik hittap te Topa pupi hãm'ãktux, tu tappet tu kax'ãmi', tu kakxop nã'ax 'ãktux, hu:"
40,2,6,"“Menẽg mũn kõmẽn kutõgnãg, pa Topa te' xexkãnãp-tup,'ũyãykutnã'ax yõg kõmẽn hah,yĩy Topa te kõmẽn xexkãnãp-tup,ha yãykutnã'ax te yõgnũ tikmũ'ũn xat max putup,tu 'Iyaet yõg tikmũ'ũn xat putup.” Kaxĩy."
40,2,7,"Ha ta 'Enot te tik xop xãnãhã', nõm tik te hãmyũmmũg xop te hãptox tu' nũn, ha' xãnãhã', pu nũ', ha' xaptop tu' nũn, pu tikmũ'ũn 'ũpẽnã hok, ha 'Enot te' yĩkopit, hu:—‍Hãm 'ũm 'ĩhã 'ãxop te nõ mãyõnnãg pẽnãhã'? Kaxĩy.Ha' xuktux,"
40,2,8,"yĩy 'Enot te mõ'pok Menẽg hah, tu:—‍Mõy kakxop pit xax, nũy xipi', nũy nũy 'ã' xuktux, 'ũyĩy kama nũk xup kakxop keppah. Kaxĩy."
40,2,9,"Tu hãm'ãktux kux, ha ta tik xop mõg, tu ta' mõg putat hã, tu mõktu Menẽg tu' mõxaha', tu mãyõnnãg pẽnãhã 'ũxeheh. Hõmã mãyõnnãg te mãyõn xupep'ax tu' xip hãmnõgnõy tu', yã hõnhã pepi' xip, tu tik keppa' mõg, nũy tik xop mõgã', tu mõktu mĩptut tu' xupep, ha kakxop pit xip, yĩy mãyõnnãg hup, tu' xup pepi' tu pexkox yokama' xup, ha tik xop kuxa hittup xexkah, mãyõnnãg pẽnãhã tu' kuxa hittup,"
40,2,11,"tu mĩptut hã' mõxakux, tu kakxop pẽnãhã', 'ũtut Mãnix mũtik tihi', yĩy nũktettex kakxop keppah, tu' kuxa te' yẽy. Hak-nãy tu hãpxop max popmãhã', ha takat xexkah, yã pipkup yãnãm 'ãta popmãhã', xix hãpxop puk haxnãg tu' hõm xix mĩxux hep 'ũhaxnãg mĩha tu' hõm."
40,2,12,"Tu mõ'yõn 'ĩhã Topa te' yõtkup hã hãmyũmmũgãhã', puyĩy 'Enot ha putpu' mõg hok, yĩy ta' mõg, putat nõy hã' mõg, tu mõktu yãy yõg hãm tu' mõxaha'."
40,2,13,"Hãpxexka 'Eyit tu nũ'paha'Ha pexkox yõg nũ'kutnã'ax te Yoye ha' mõg, 'ĩhã mõ'yõn, tu' yõtkup hã hãm'ãktux, hu:—‍'Ãpu 'ãyok, nũy 'ãknĩhã xihip. 'Ãk-tok put, xi' tut mõgã', nũy hãpxexka 'Eyit tu mõy 'ãmõxãn, nũy nõ te nox pi', ha mõktu 'ãte xa hãm'ãktux. Yã 'Enot te kakxop xak, 'ũp-tex putup tu'. Kaxĩy."
40,2,14,"Yĩy Yoye yok, tu kakxop put, xi' tut mõgãhã', tu hãpxexka 'Eyit 'ũnũpa tu' mõg 'ĩhã 'ãmnĩy,"
40,2,15,"tu' ti ka'ok, ha mõktu 'Enot tu' xok. Hõmã tik hittap te Topa pupi hãm'ãktux, tu tappet tu kax'ãmi', tu Yeyox 'ãktux, hu: “'Ãtek kutok xãnãhã', 'ĩhã hãpxexka 'Eyit ta tu' xip.” Kaxĩy. Yã Topa yõg hãm'ãktux hittap hã Yeyox nox xip hãpxexka 'Eyit kopa nõmhã'. 'Enot te xonat xop xat pu kakxop kixHa ta 'Enot te' hip, tu tik puknõg te hãmyũmmũg xop hip, pa 'ap nũn'ah, tu yã mõ'ãmã'. Yĩy 'Enot gãy xexkah, tu' xat, pu kõmẽn yõg kakxop pit xohix xexka kix, nũy kakxop yõg hãmyãxatamuk 2 xohix kix Menẽg kopah, xix kõmẽn kũnãpa' pip kakxop pit kix. Yã hõmã, hãmyãxatamuk 2 'ĩhã tik puknõg te hãmyũmmũg xop te mãyõnnãg pẽnãhã', hu' nũn, nũy kakxop xax, yĩy 'Enot te' xat, pu kakxop pit kutõgnãg xohix kix, nũy kakxop puxet putex. Hõmã, hãmyãxatamuk xohix xexka 'ĩhã, tik hittap Yenemĩn te Topa pupi hãm'ãktux, nũy tappet tu kax'ãmi', yĩy: “Kõmẽn Hãmã yõg tikmũ'ũn potaha',yã Haket potaha', 'ũk-tok xak tu',tu' kuxa teknõg, 'ũk-tok xakix hah.” Kaxĩy.Yã Topa yõg hãm'ãktux hittap hã' xat'ax gãy te kakxop kix nõmhã'. Yãy yõg hãm tu' putpu' nũnHãpxip kutõgnãg 'ĩhã 'Enot xok, ha pexkox yõg nũ'kutnã'ax te 'Eyit ha' mõg, tu Yoye ha' mõg, tu hãm'ãktux 'ĩhã Yoye mõ'yõn, 'ũyõtkup hã hãm'ãktux, hu:—‍'Ãpu, 'ãyok, kakxop put, xi' tut mõgã', nũy 'Iyaet yõg hãm ha putpu mõg. Yã tik kummuk xok, nõm te kakxop xak, nũy putex. Yĩy mõg. Kaxĩy."
40,2,21,"Ha Yoye yok, tu kakxop put, xi' tut mõgãhã', ha ta' mõg 'Iyaet ha', tu' mõg tu mõktu' mõxaha',"
40,2,22,"ha tikmũ'ũn te hãmyũmmũgãhã', tu 'Enot kutok 'Akenap 'ãktux, ha Yonex yõg tikmũ'ũn xat, yãy tak yãnãn tu' xat, yĩy Yoye kuxãnõg, pa Topa te hãmyũmmũgãhã', 'ĩhã mõ'yõn, 'ũyõtkup hã hãmyũmmũgãhã', yĩy Yoye mõg hãpxexka Ganinet tu', xix kakxop mõg, xi' tut mõg,"
40,2,23,"nũy tu ti ka'ok kõmẽn Nãyane kopah. Yã hõmã tik hittap te Topa pupi hãm'ãktux, tu Yeyox 'ãktux, hu: “Tikmũ'ũn te' xuxet'ax mĩy putup, tu Nãyane yõg tik 'ãxet'ax putup.” 'Ũkux. Kaxĩy. Yã Topa yõg hãm'ãktux hittap hã Yeyox xip ka'ok kõmẽn Nãyane tu' nõmhã'."
40,3,1,"Yoãm te Topa pupi hãm'ãktuxHãpxip 'ĩhã Yoãm tep-tox pix, tu hãpxexka Yonex yõg hãm panip xexka ha' mõg, nũy Topa pupi hãm'ãktux,"
40,3,2,"tu:“Tik xip hãm panip xexka tu', tu' yĩy ka'ok, tu:'Ũkux. Kaxĩy."
40,3,4,"Yoãm te kãmẽn xeh hã topixxax mĩy, nũy tu xokxop xax hãg-nãy hĩy, tu kunit mãhã', xix puk hep xup."
40,3,5,"Ha ta kõmẽn Yenoyanẽn yõg tikmũ'ũn xohix nũn, xix hãpxexka Yonex yõg tikmũ'ũn, xix tikmũ'ũn te kõnãg xexka Yohnãm yĩka' pip, tu' nũn,"
40,3,6,"ha Yoãm te tikmũ'ũn xohip-tox pix, 'ĩhã tikmũ'ũn te yãy yõg hãpkummuk mĩy'ax 'ãktux, tu yãyhãhup tu hãm'ãktux, nũy nõm kuxyã'."
40,3,7,"Ha Paniye xop nũn kamah, xix Xanoxeo xop nũn, puyĩy Yoãm kamap-tox pix. Pa Yoãm te:—‍'Ãxop kummuk xop te kãyãk-tok putuk! Piyã 'ãxat, xayĩy 'õg hãpkummuk mĩy'ax tu kux, puyĩy Topa 'ãha gãy hok, nũy 'ãkummugã hok?"
40,3,8,"'Ãpu hãpxopmã max, pu tikmũ'ũn xohix xate yãyhãhup yũmmũg."
40,3,9,"Hãm'ãktux hok, hu: “Yã mõnãyxop 'Amanãm yã yũmũ'ã hã mõnãyxop xe'e', 'a Topa te 'ũgkummugãp-tup'ah,” Kaxĩy. 'Ũxuktux hok! Yã Topa mũn ka'ok, tu mĩkax xap hã 'Amanãm mõkputox mĩy'ax."
40,3,10,"Tikmũ'ũn te mĩm kup kummuk xak, kupuk hã' xak, tu kuxap hã mõ'hap, pu tu nõg, ha kaxĩy Topa te tikmũ'ũn kummuk kix putup, tu' nõa'."
40,3,11,"'Ãte 'ãp-tox pix, tu kõnãg hã 'ãp-tox pix, xa yãyhãhup, nũy hãpkummuk mĩy hok 'ũxeheh, pa tik puxet tek pe' nũn putup, tu' ka'ok, ha tak pu'uk. 'Ap max'ah 'ãte nõ pataxax tat, yãk mũn kutõgnãg. Hamũn te Topa Koxuk xa mõ'kutnãp-tup puyĩy 'ãkuxa ka'ogã', nũy 'ãkuxa kummuk tupmã'."
40,3,12,"Yã pẽnẽn paha', nũy xuxnãg xetox xap mõy mĩxux kopah, nũy xap xix mĩptut kopah, 'ĩhã mĩxux naknãg mõ'hap kuxap tu', ha kaxĩy Topa te yãy yõg tikmũ'ũn xex max, pa' yĩpkox 'ohnãg xop xũygãp-tup, kuxap hã' puk putuk nõ xũygãp-tup, ha' xũy xuxix tapax 'ohnãg. 'Ũkux. Kaxĩy."
40,3,13,"Yoãm te Yeyox putox pixHãpxip kutõgnãg 'ĩhã Yeyox mõg, tu ta hãpxexka Ganinet tu' xip, tu kõnãg xexka Yohnãm ha' mõg, pu Yoãm putox pix,"
40,3,14,"pa Yoãm te:—‍'Ãmhok! Kaxĩy hok! Pak mũn putox pix 'ũyãnãn tu'! 'Ãxexka, hak mũn kutõgnãg. Teptu xatek xat, 'ũg 'ãp-tox pix? Kaxĩy."
40,3,15,"Ha Yeyox te:—‍Topa te 'ãp-tup, xak putox pix. Yã puxi'. Kaxĩy.Ha: —‍Ya hamũn. Kaxĩy. Tup-tox pix."
40,3,16,"Ha' pix kux, 'ĩhã Yeyox te kõnãg kox tu' xupep, ha pexkox xõn, ha Yeyox te Topa Koxuk pẽnãhã', ha ta tu' yĩxohoh kuxxuxtut putuk, tu mõktu Yeyox putox tonnok, tu yĩmũ' xip, ha ta Topa yĩy, tu hãm'ãktux pexkox tu', hu:—‍Nũhũ 'ũgkutok pit. 'Ãte nõm mõ'yãy xe'ẽgnãg, hak kuxa hittupmãhã'! Kaxĩy."
40,4,1,"Hãmgãyãgnãg te Yeyox xapit puyĩy hãpkummuk mĩyHa Topa Koxuk te Yeyox mõgãhã hãm panip tu', ha Hãmãyãgnãg te Yeyox xapit, puyĩy hãpkummuk mĩy. Yã 'ãmnĩy xohix te 40 hã 'ap xit'ah Yeyox, ha putup tep-tex, yĩy Hãmgãyãgnãg te' yĩka xupep, tu:—‍Pax xa yã Topak-tok, 'ãpu' xat, pu nũhũ mĩkaxxap yãyhã pãm xe'e', xayĩ' mã'. Kaxĩy."
40,4,4,"Ha Yeyox te:—‍Topa yõg tappet te tikmũ'ũn xat, pu pãm puxet hã tu hi ka'ok hok, pãyã' xat, pu Topa yõg hãm'ãktux hã tikmũ'ũn kuxa hi ka'ok. Kaxĩy."
40,4,5,"Ha Hãmgãyãgnãg te kõmẽn Yenoyanẽn ha' mõgãhã', yã Topa yõg kõmẽn, ha Topa pet xexka tu' mõgãhã', pu' pet tox xanep yĩmũ 'ãti',"
40,4,6,"ha:“Topa te pexkox yõg xop nũ'pok putup, nũy 'ãpẽnã max,'Ũkux. Kaxĩy."
40,4,7,"Ha:—‍Pa Topa yõg tappet te hãm'ãktux kamah, hu: “'Õgnũ Topa hã hãpkutex'ex hã gãyã hok.” Kaxĩy."
40,4,8,"Ha Hãmgãyãgnãg te' mõgãhã yĩktix tox xanep yĩmũ', tu hãm xexka max xohix tu' mũg, tu hãpxopmã'ax max xohix tu' mũg, tu:—‍Pẽnã'! 'Ũgmũn pu nũ'ãxup, kopxix xa' hõm hãpxop xohix. Kaxĩy."
40,4,10,"Ha Yeyox te:—‍'Ãkmũn'ah. Mõg, nũy 'ãpep. Yã Topa yõg tappet te: “Topap-xehnãg pu nũ'ãxup, nũy 'ãkuxa' yẽy.” Kaxĩy."
40,4,11,"Yĩy Hãmgãyãgnãg te' nĩm, ha pexkox yõg nũ'pok xop nũn, nũy Yeyox pẽnã max."
40,4,12,"Yeyox te hãpxopmã kõnãmãhã'Ha ta' nũn xonat xop, tu Yoãm mũg, tu kanet hã mõ'tat, ha Yeyox te' yũmmũg, tu hãpxexka Ganinet tu' mõg,"
40,4,13,"tu kõmẽn Nãyane nĩm, nũy kõmẽn Kapãnãn tu' xip, ha kõnãg xexka Ganinet te' yĩka' xup, yã' xip hãpxexka Yemonõm xix Nãptanix tu'."
40,4,14,"Hõmã, hãmyãxatamuk xohix 'ĩhã Topa te hãm'ãktux, ha tik hittap 'Iyait te nõm pupi hãm'ãktux, tu tappet tu kax'ãmi', nũy tikmũ'ũn xohix pu hãmyũmmũgã', nũy Yeyox xip'ax 'ãktux. Yã Topa yõg hãm'ãktux hittap hã Yeyox te kõmẽn Kapãnãn tu' nox xip, yĩy: “Yemonõn yõg hahãm, xix Nãptanix yõg hahãm,yã kõnãg xexka kux tu' pip, tu kõnãg xexka Yohnãm xatapa' pip,nõ'õm puknõg yõg Ganinet. Yã' puknõg xop te hãpkoxtap kopa' pip, tu hãmyũmmũg 'ohnãg,tu kuyãnãm xexka pẽnãp-tup, puyĩy hãptupmã',puyĩ' puknõg xop hãmyũmmũg,ha kuyãnãm te hãpkoxtap tu mãp-tup,nũy nõm puknõg xop kuxa hittupmã'.” 'Ũkux. Kaxĩy."
40,4,17,"Ha Yeyox te hãm'ãpak max'ax 'ãktux hãmãxap, hu:—‍'Ãpu, yãyhãhup, tu 'õg hãpxopmã'ax kummuk kux! Yã hõnhã Topa te yãy yõg tikmũ'ũn xat. 'Ãpu 'ĩpkox pi'! Kaxĩy."
40,4,18,"Yeyox te tik te 4 xãnãhã''Ãmnĩy 'ũm 'ĩhã Yeyox te hãpkumep, tu kõnãg xexka Ganinet yõg hãpkux tu' hãpkumep, 'ĩhã tik taknõy 2 pẽnãhã', ha mãm xuk, tu' xuxet'ax Xĩmãm, yã' xuxet'ax nõy te: Pet, xi' taknõy 'ãxet'ax 'Ãnene', tu mõ tut panip yõn, tu mãm xuk pax,"
40,4,19,"ha Yeyox te:—‍'Ãpu, 'ũkpe mõg 'ũg 'ãyũmmũgã', xayĩy tikmũ'ũn tuk ha nũnnã'. Kaxĩy."
40,4,20,"Yĩy tut panip nĩm, nũy Yeyox mũtik hãpkumep."
40,4,21,"Ha' mõg 'ĩhã tik taknõy 2 nõy pẽnãhã', ha' xuxet'ax Tiak, xi' taknõy 'ãxet'ax Yoãm, yã Yemeneo kutok, tu yãy tak yõg mĩpkox kopa' mãm, nũy tut panip mĩy. Ha Yeyox te' xapit, puyĩy nũ mũtik hãpkumep,"
40,4,22,"ha hãpxip 'ohnãg 'ĩhã' mõg, tu yãy tak nĩm, xix mĩpkox nĩm, nõm te kõnãg yĩmũ' mõg, ha Yeyox pe' mõg."
40,4,23,"Yeyox te hãmyũmmũgãhã xix hittupmãhã'Ha Yeyox te hãpkumep punethok, tu ta Ganinet yõg hãpxexka xohix hã hãpkumep, tu Topa pet xohix kopa hãmyũmmũgãhã', tu Topa yõg hãm'ãpak max'ax 'ãktux, xix Topa te tikmũ'ũn xat'ax 'ãktux, tu tikmũ'ũn pakut xop hittupmãhã',"
40,4,24,"ha hãpxexka Xit yõg tikmũ'ũn xohix te' xupak, hu' pakut xop tat Yeyox hah, yã hãmpakut xohix te tikmũ'ũn pakutnãhã', xix yãmĩy kummuk te' pakutnãhã', ha nõm tikmũ'ũn te yãy pu xu'ux xop tat, xix hãpkumep hok xop tat, ha Yeyox te' xohix hittupmãhã'."
40,4,25,"Ha tikmũ'ũn xohix punethok te' pe' mõg, yã Ganinet yõg tikmũ'ũn, xix kõmẽn te 10 yõg tikmũ'ũn, xix Yenoyanẽn yõg tikmũ'ũn, xix Yonex yõg, xix Yohnãm xatapa' pip xop. Yã' xohix te Yeyox pe' mõg."
40,5,1,"Yeyox te hãm'ãktux yĩktix yĩmũ'Jesus te tikmũ'ũn xohix pẽnãhã', tu yĩktix tu' mõg, tu mõktu pepi' xip, tu' yũm. Ha yãy yõg tik xop te' yĩka' mãm, ha hãmyũmmũgãhã', nũy Topa yõg hãpxopmã'ax yũmmũgã', hu:"
40,5,3,"—‍'Ũkuxa hittup'ax tikmũ'ũn kuxa kopa' hok xop.Yã Topa te nõm tikmũ'ũn xat xe'e', hu' kuxa hittupmãhã'."
40,5,4,—‍'Ũkuxa hittup'ax tikmũ'ũn pota punethok xop.Yã Topa te' kuxa hittupmãp-tup.
40,5,5,"—‍'Ũkuxa hittup'ax tikmũ'ũn te yãy kutõgnãg pe'paxex.Yã Topa te nõm pu hãm'ãktux xex, tu' xaxok 'ohnãg, yĩy pexkox yõg hãpxop pop putup."
40,5,6,"—‍'Ũkuxa hittup'ax tikmũ'ũn yĩpkox pip xop, nõm te' xak, nũy Topa pu' yĩpkox pi', tu hãmyok mĩy putup xũy.Yã Topa te' kuxa mãmmãhã'."
40,5,7,—‍'Ũkuxa hittup'ax tikmũ'ũn te' nõy kuxa ka'.Yã Topa te nõm tikmũ'ũn kuxa ka'.
40,5,8,—‍'Ũkuxa hittup'ax tikmũ'ũn kuxa tup xop.Yã nõm te Topa pẽnãp-tup.
40,5,9,—‍'Ũkuxa hittup'ax tikmũ'ũn te yãykix kuxyãhã'.Yã 'õm te Topa hãk-tok xe'e'.
40,5,10,"—‍'Ũkuxa hittup'ax tikmũ'ũn xũy, nõm tikmũ'ũn xũy nũy hãpxopmã max.Yã Topa te' xexkãnãp-tup 'ĩhã' hep xop xohix xat."
40,5,11,"—‍'Ãkuxa hittup'ax 'ĩhã' gãyxop te 'ãxũygãhã', xix 'ãmãnõg, xix 'ãkte'ex kummuk, xix 'ãkupex, 'ũkpe 'ãmõg hah. 'Ãkuxa hittup'ax, yã Topa te xa popmãp-tup pexkox yõg hãpxop xohix. Yã hõmã tik gãy xop te Topa yõg tik hittap xop xũygãhã', tu' pupi hãm'ãktux xop xũygãhã kamah, 'ãmũn putuk."
40,5,13,"Yeyox te 'ãmot xuxpex 'ãktux xix kuyãnãm—‍'Ãmot xuxpex te' xit'ax xuxpexgãhã', ha xogyĩn kutnat, puyĩy tuk-tox hok. Ha kaxĩy 'ãxop te Topa hã' puknõg xop pu hãmmaxnãhã'. Pax pu 'ãmot ku'uk kummuk hãk-tox, puxix tikmũ'ũn xep-tup nõg, nũy hãptopa putyõn, ha' xohix te' tonnok."
40,5,14,"—‍Kuyãnãm te hãptupmãhã', ha kaxĩy 'ãxop te tikmũ'ũn pu Topa pupi hãm'ãktux, tu' kuxa hittupmãhã'. Tikmũ'ũn xohix te kõmẽn pẽnãhã', yã kõmẽn te yĩktix yĩmũ' pip. Piyã kuyãnãm tat'ax paha', nũy nõ manax kopa' yũm, tu mõ'nĩy? 'Ap yũm'ah, pãyã mĩmpe yĩmũ' yũm, puyĩy mĩptut xohix tupmã', puyĩy tikmũ'ũn nõ hãmpẽnã max. Ha kaxĩy 'ãxop te tikmũ'ũn pu Topa yõg hãm'ãktux 'ãktux, pu tu hittup, ha kaxĩy 'ãxop te hãpxopmã max, pu tikmũ'ũn pẽnã', nũy 'Ãtak Topa pu hãm'ãktux, hu: “Yã 'ãmax xe'ẽgnãg'”! Kaxĩy."
40,5,17,"Tu Topa yõg xat'ax 'ãktux—‍'Ũpe'ãpaxeh hok, hu: “Yeyox nũn, nũy Mõyyex yõg xat'ax nõa'.” Kaxĩy. 'Ãmhok. 'Aknũn'ah 'ũg tik hittap xop yõg hãm'ãktux nõa', nõm hittap xop te Topa pupi hãm'ãktux, 'ap nõãp-tup'ah, pak nũn nũy hãm'ãktux yũmmũgã max."
40,5,18,"'Ũxaxok hok. Yã' xat'ax xip ka'ok, tu' nõg 'ohnãg. Yã Topa yõg tikmũ'ũn te' xuktux putup mõ'kuma' mõg. Yã kax'ãmi'ax kutõgnãg xut 'ohnãg, 'ĩhã pexkox xip, 'ĩhã' xip hahãm. 'Ũnõg 'ohnãg."
40,5,19,"Yĩy tikmũ'ũn yĩpkox pip 'ohnãg Topa yõg xat'ax pu', xi' nõy yũmmũgã'ax, pu' yĩpkox hok, puxix 'õm kutõgnãg. Yã Topa te nõm kutõgnãg 'ãktux putup 'ĩhã yãy yõg tikmũ'ũn xat. 'A xexkãnãp-tup'ah. Pa tikmũ'ũn yĩpkox pip, tu' nõy yũmmũgã'ax, pu yĩpkox pi', puxix Topa xexka 'ãktux putup, 'ĩhã yãy yõg tikmũ'ũn xat."
40,5,20,"Yĩy hãpxopmã max Topa pu', tu 'ãyĩpkox pip pax Topa pu', puyĩy Topa 'ãxop pu pexkox xõn, 'ĩhã yãy yõg tikmũ'ũn xat, nũy: Mõnãy! Kaxĩy. Pa hãmyũmmũg xop yĩpkox 'ohnãg xop, xix Paniye xop te' mõxakux 'ohnãg."
40,5,21,"Tu tep-tup nõg 'ãktux—‍Tik hittap te mõnãyxop pu hãm'ãktux, tu' xat, hu: “'Ũp-tex hok. Tikmũ'ũn te' nõy putex, puxi' mõgã tik pa te hãmyũmmũg keppah, puyĩ' yõg hãpkummuk mĩy'ax kopit.” Kaxĩy. Pa 'ãte 'ãxat, hu: Tikmũ'ũn te' nõy hã' gãy, puxix tik pa te hãmyũmmũg kopit. Ha tikmũ'ũn te' nõy pu hãm'ãktux, hu: “'Ãkummuk,” kaxĩy, puxix tik xexka xop hãpkummuk mĩy'ax kopit. Ha tikmũ'ũn te' nõy putup nõg, hu nõm pu hupmãhã', hu: “'Ãp-tox kummuk!” kaxĩy, puxix nõm mõgã Hãmgãyãgnãg Pet hah."
40,5,23,"'Ãmõg Topa pet hah, nũy Topa pu hãpxop mõ'hap, nũy tu' haxyã', tu hãmpe'paxex, hu: “Hamũn, 'ũgnõy gãy, tute 'ã tu' gãy,” kaxĩy. 'Ãpu, 'õg hãpxop mõ'hap'ax nĩm, nũy mõg mõ'ka'ok 'ãnõy hah, pu 'ãnõy mũtik yãyhã 'ãxape 'ũxeheh, hak-nãy tu 'õg hãpxop mõ'hap Topa pu'."
